POSIX,source,app,x_x0,y_y0,t_t0,rstart,rstop
1491034563,72,1,0,0,7,,
1491037369,16,1,0,0,6,,
1491045145,125,1,0,0,0,,
1491046568,51,1,0,0,1,,
1491047124,69,1,0,0,1,,
1491050495,5,1,0,0,3,,
1491051318,109,1,0,0,1,,
1491051759,85,1,0,0,1,,
1491057068,14,1,0,0,0,,
1491057671,110,1,0,0,0,,
1491059767,55,1,0,0,0,,
1491061522,99,1,0,0,3,,
1491064030,16,1,0,0,3,,
1491074234,82,1,0,0,3,,
1491074976,28,1,0,0,1,,
1491075446,81,1,0,0,1,,
1491076129,70,1,0,0,4,,
1491076702,9,1,0,0,3,,
1491078466,104,1,0,0,0,,
1491078658,112,1,0,0,1,,
1491079229,85,1,0,0,0,,
1491081184,92,1,0,0,1,,
1491083662,77,1,0,0,2,,
1491086155,39,1,0,0,0,,
1491120277,76,1,0,0,0,,
1491120839,70,1,0,0,2,,
1491122331,72,1,0,0,5,,
1491124733,56,1,0,0,0,,
1491127160,19,1,0,0,1,,
1491130792,103,1,0,0,0,,
1491133045,118,1,0,0,4,,
1491134894,97,1,0,0,1,,
1491141168,21,1,0,0,0,,
1491143017,39,1,0,0,0,,
1491143938,92,1,0,0,2,,
1491149715,114,1,0,0,3,,
1491150981,65,1,0,0,1,,
1491152755,123,1,0,0,1,,
1491154115,29,1,0,0,0,,
1491154667,95,1,0,0,4,,
1491160442,8,1,0,0,0,,
1491160875,69,1,0,0,0,,
1491166228,65,1,0,0,0,,
1491168085,108,1,0,0,4,,
1491169225,5,1,0,0,0,,
1491210012,17,1,0,0,1,,
1491210431,125,1,0,0,0,,
1491212592,6,1,0,0,1,,
1491213244,98,1,0,0,2,,
1491218530,26,1,0,0,5,,
1491223482,81,1,0,0,7,,
1491227191,102,1,0,0,0,,
1491239177,68,1,0,0,0,,
1491243287,125,1,0,0,0,,
1491243381,103,1,0,0,0,,
1491252531,82,1,0,0,5,,
1491254063,55,1,0,0,6,,
1491295332,14,1,0,0,0,,
1491301443,70,1,0,0,5,,
1491302245,5,1,0,0,0,,
1491304751,35,1,0,0,0,,
1491305676,70,1,0,0,3,,
1491306004,17,1,0,0,1,,
1491306794,115,1,0,0,0,,
1491312948,16,1,0,0,0,,
1491312976,29,1,0,0,0,,
1491313465,80,1,0,0,2,,
1491316068,13,1,0,0,1,,
1491316910,122,1,0,0,6,,
1491322650,110,1,0,0,0,,
1491323714,84,1,0,0,2,,
1491325560,4,1,0,0,0,,
1491326404,123,1,0,0,1,,
1491328661,6,1,0,0,1,,
1491329702,102,1,0,0,2,,
1491340724,112,1,0,0,0,,
1491341789,94,1,0,0,0,,
1491345319,115,1,0,0,0,,
1491383500,33,1,0,0,5,,
1491385948,71,1,0,0,0,,
1491388548,11,1,0,0,1,,
1491388703,18,1,0,0,1,,
1491393481,95,1,0,0,1,,
1491396565,114,1,0,0,7,,
1491397522,124,1,0,0,3,,
1491398329,17,1,0,0,0,,
1491401755,69,1,0,0,1,,
1491404197,77,1,0,0,6,,
1491416887,31,1,0,0,0,,
1491420620,45,1,0,0,6,,
1491426345,17,1,0,0,2,,
1491432181,37,1,0,0,2,,
1491470379,85,1,0,0,6,,
1491470751,77,1,0,0,1,,
1491472536,64,1,0,0,4,,
1491473360,103,1,0,0,0,,
1491475390,4,1,0,0,6,,
1491477693,113,1,0,0,3,,
1491478646,16,1,0,0,0,,
1491482845,125,1,0,0,6,,
1491485212,103,1,0,0,0,,
1491486302,125,1,0,0,4,,
1491487143,96,1,0,0,7,,
1491494301,96,1,0,0,7,,
1491495222,6,1,0,0,0,,
1491506108,5,1,0,0,3,,
1491508435,22,1,0,0,2,,
1491509615,121,1,0,0,3,,
1491552651,122,1,0,0,1,,
1491554947,116,1,0,0,1,,
1491562823,104,1,0,0,4,,
1491564637,95,1,0,0,0,,
1491567557,113,1,0,0,2,,
1491570703,72,1,0,0,1,,
1491570895,115,1,0,0,5,,
1491571478,47,1,0,0,7,,
1491571754,12,1,0,0,1,,
1491572357,55,1,0,0,2,,
1491573462,58,1,0,0,1,,
1491575574,99,1,0,0,4,,
1491577186,4,1,0,0,2,,
1491577487,87,1,0,0,4,,
1491580613,70,1,0,0,0,,
1491580812,55,1,0,0,0,,
1491582910,37,1,0,0,6,,
1491583773,102,1,0,0,4,,
1491584858,62,1,0,0,1,,
1491586345,113,1,0,0,0,,
1491586434,45,1,0,0,0,,
1491588005,84,1,0,0,2,,
1491589053,122,1,0,0,0,,
1491589234,122,1,0,0,1,,
1491589774,118,1,0,0,2,,
1491596563,122,1,0,0,1,,
1491598202,121,1,0,0,2,,
1491600427,95,1,0,0,1,,
1491601370,22,1,0,0,0,,
1491601399,115,1,0,0,2,,
1491602665,43,1,0,0,2,,
1491638558,65,1,0,0,3,,
1491644728,63,1,0,0,0,,
1491650421,116,1,0,0,0,,
1491650525,64,1,0,0,2,,
1491653541,72,1,0,0,1,,
1491655072,97,1,0,0,3,,
1491656688,124,1,0,0,0,,
1491667509,10,1,0,0,0,,
1491668354,121,1,0,0,3,,
1491671022,21,1,0,0,2,,
1491680108,125,1,0,0,0,,
1491685876,92,1,0,0,1,,
1491686476,25,1,0,0,1,,
1491690947,46,1,0,0,4,,
1491691711,58,1,0,0,0,,
1491727902,31,1,0,0,3,,
1491730140,72,1,0,0,1,,
1491732775,53,1,0,0,0,,
1491732828,118,1,0,0,0,,
1491733279,47,1,0,0,1,,
1491736152,31,1,0,0,1,,
1491736284,53,1,0,0,0,,
1491741634,71,1,0,0,0,,
1491744293,121,1,0,0,1,,
1491753555,109,1,0,0,0,,
1491757560,123,1,0,0,4,,
1491758837,68,1,0,0,6,,
1491759471,12,1,0,0,1,,
1491759571,25,1,0,0,1,,
1491760348,14,1,0,0,6,,
1491762276,42,1,0,0,1,,
1491762500,25,1,0,0,2,,
1491767686,33,1,0,0,0,,
1491768711,26,1,0,0,5,,
1491770517,27,1,0,0,3,,
1491771995,62,1,0,0,4,,
1491773890,5,1,0,0,6,,
1491774790,10,1,0,0,1,,
1491811312,112,1,0,0,0,,
1491824982,87,1,0,0,5,,
1491827144,26,1,0,0,3,,
1491827806,36,1,0,0,0,,
1491832220,43,1,0,0,0,,
1491833400,43,1,0,0,1,,
1491835883,25,1,0,0,5,,
1491838303,94,1,0,0,0,,
1491838497,8,1,0,0,2,,
1491838610,79,1,0,0,5,,
1491840912,70,1,0,0,1,,
1491842071,122,1,0,0,1,,
1491848963,5,1,0,0,4,,
1491854272,87,1,0,0,1,,
1491859686,78,1,0,0,4,,
1491861487,117,1,0,0,0,,
1491864970,56,1,0,0,6,,
1491898231,72,1,0,0,2,,
1491898713,77,1,0,0,1,,
1491899593,95,1,0,0,5,,
1491902310,77,1,0,0,3,,
1491903442,69,1,0,0,3,,
1491909249,108,1,0,0,6,,
1491917900,52,1,0,0,1,,
1491918841,86,1,0,0,6,,
1491918896,55,1,0,0,5,,
1491920327,71,1,0,0,2,,
1491921740,107,1,0,0,1,,
1491927633,30,1,0,0,2,,
1491928637,103,1,0,0,0,,
1491930069,118,1,0,0,1,,
1491930211,68,1,0,0,2,,
1491932851,9,1,0,0,1,,
1491935649,69,1,0,0,3,,
1491939483,81,1,0,0,2,,
1491942782,104,1,0,0,2,,
1491943724,105,1,0,0,2,,
1491946177,107,1,0,0,3,,
1491948617,68,1,0,0,3,,
1491949041,6,1,0,0,1,,
1491984277,5,1,0,0,3,,
1491987624,92,1,0,0,0,,
1491987749,42,1,0,0,1,,
1491987759,87,1,0,0,2,,
1491989576,105,1,0,0,5,,
1491998200,31,1,0,0,7,,
1492003561,108,1,0,0,0,,
1492004358,56,1,0,0,0,,
1492005652,123,1,0,0,2,,
1492006812,74,1,0,0,0,,
1492009467,16,1,0,0,1,,
